Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Charlotte Hornets,Washington Wizards,97,87,-111,-105
N/A,New York Knicks,Orlando Magic,98,104,-769,+541
N/A,Milwaukee Bucks,Los Angeles Lakers,109,102,-417,+330
N/A,Miami Heat,New Orleans Pelicans,113,98,-270,+222
N/A,Brooklyn Nets,Cleveland Cavaliers,109,99,-500,+388
N/A,Atlanta Hawks,Boston Celtics,110,99,-200,+169
N/A,Oklahoma City Thunder,Houston Rockets,101,89,-154,+134
N/A,Minnesota Timberwolves,Sacramento Kings,107,97,-135,+116
N/A,Portland Trail Blazers,Chicago Bulls,112,107,-159,+138
N/A,Phoenix Suns,Dallas Mavericks,105,98,-370,+293
N/A,Miami Heat,Washington Wizards,112,97,-263,+218
N/A,Cleveland Cavaliers,Golden State Warriors,89,104,+366,-476
N/A,Minnesota Timberwolves,San Antonio Spurs,115,90,-133,+114
N/A,Memphis Grizzlies,Los Angeles Clippers,120,108,-106,-111
N/A,Utah Jazz,Toronto Raptors,119,103,-556,+416
N/A,Denver Nuggets,Philadelphia 76ers,89,103,-323,+267
N/A,Detroit Pistons,Golden State Warriors,102,105,+110,-130
N/A,Charlotte Hornets,Indiana Pacers,121,118,-105,-112
N/A,Brooklyn Nets,Orlando Magic,115,113,-476,+374
N/A,Boston Celtics,Los Angeles Lakers,130,108,-111,-105
N/A,New Orleans Pelicans,Los Angeles Clippers,94,81,+159,-185
N/A,Milwaukee Bucks,Oklahoma City Thunder,96,89,-909,+630
N/A,Denver Nuggets,Chicago Bulls,108,114,+110,-128
N/A,Sacramento Kings,Toronto Raptors,89,108,-156,+135
N/A,Phoenix Suns,Dallas Mavericks,112,104,-370,+301
N/A,New York Knicks,Houston Rockets,106,99,-667,+488
N/A,Washington Wizards,Miami Heat,103,100,+118,-137
N/A,Indiana Pacers,New Orleans Pelicans,111,94,-323,+261
N/A,Boston Celtics,Oklahoma City Thunder,111,105,-455,+362
N/A,Atlanta Hawks,Charlotte Hornets,115,105,-286,+239
N/A,Minnesota Timberwolves,Memphis Grizzlies,138,95,-139,+119
N/A,Milwaukee Bucks,Orlando Magic,117,108,-1000,+661
N/A,Sacramento Kings,Utah Jazz,105,123,+269,-333
N/A,Portland Trail Blazers,Philadelphia 76ers,118,111,-294,+241
N/A,Los Angeles Clippers,Dallas Mavericks,97,91,-217,+185
N/A,Detroit Pistons,Los Angeles Lakers,116,121,+243,-294
N/A,Phoenix Suns,Denver Nuggets,126,97,-500,+391
N/A,Chicago Bulls,New York Knicks,109,103,-217,+183
N/A,Golden State Warriors,Toronto Raptors,119,104,-400,+316
N/A,Washington Wizards,Charlotte Hornets,103,109,-189,+161
N/A,Cleveland Cavaliers,Brooklyn Nets,112,117,+185,-217
N/A,Boston Celtics,Houston Rockets,108,90,-667,+496
N/A,Atlanta Hawks,Oklahoma City Thunder,113,101,-1000,+667
N/A,New Orleans Pelicans,Minnesota Timberwolves,96,110,+137,-159
N/A,Milwaukee Bucks,Orlando Magic,123,92,-1111,+723
N/A,Chicago Bulls,Indiana Pacers,77,109,-119,+100
N/A,San Antonio Spurs,Phoenix Suns,111,115,+179,-213
N/A,Utah Jazz,Memphis Grizzlies,118,119,-556,+417
N/A,Sacramento Kings,Philadelphia 76ers,94,102,-200,+169
N/A,Detroit Pistons,Miami Heat,92,100,+409,-526
N/A,New York Knicks,Los Angeles Lakers,106,100,-189,+160
N/A,Portland Trail Blazers,Denver Nuggets,119,100,-435,+353
N/A,Los Angeles Clippers,Dallas Mavericks,104,112,-147,+125
N/A,Orlando Magic,Charlotte Hornets,99,106,+263,-323
