Match Date,Home Team,Away Team,Home Score,Away Score,Home Odds,Away Odds
N/A,Denver Nuggets,Phoenix Suns,97,104,-222,+181
N/A,Utah Jazz,San Antonio Spurs,111,118,-172,+142
N/A,Chicago Bulls,Indiana Pacers,125,99,+125,-149
N/A,Memphis Grizzlies,Los Angeles Lakers,124,136,+147,-175
N/A,Minnesota Timberwolves,Detroit Pistons,106,91,-1667,+948
N/A,Oklahoma City Thunder,Houston Rockets,126,132,-196,+161
N/A,Atlanta Hawks,Portland Trail Blazers,120,106,-667,+465
N/A,Philadelphia 76ers,Los Angeles Clippers,107,108,+206,-256
N/A,Toronto Raptors,New York Knicks,101,145,+636,-1000
N/A,Charlotte Hornets,Cleveland Cavaliers,118,111,+347,-455
N/A,Orlando Magic,Golden State Warriors,93,101,-172,+142
N/A,Washington Wizards,Brooklyn Nets,119,122,+140,-169
N/A,Sacramento Kings,Dallas Mavericks,96,132,-112,-105
N/A,New Orleans Pelicans,Oklahoma City Thunder,112,119,-101,-116
N/A,Miami Heat,Golden State Warriors,92,113,+165,-204
N/A,Milwaukee Bucks,Los Angeles Lakers,124,128,-417,+320
N/A,Los Angeles Clippers,Indiana Pacers,116,133,-244,+200
N/A,Sacramento Kings,Philadelphia 76ers,108,96,-294,+235
N/A,Denver Nuggets,Memphis Grizzlies,128,103,-833,+570
N/A,Utah Jazz,Dallas Mavericks,105,115,+259,-323
N/A,Chicago Bulls,Washington Wizards,105,107,-714,+512
N/A,Houston Rockets,Portland Trail Blazers,110,92,-1000,+659
N/A,San Antonio Spurs,Phoenix Suns,104,102,+488,-714
N/A,Atlanta Hawks,Boston Celtics,120,118,+384,-526
N/A,New York Knicks,Detroit Pistons,124,99,-1667,+963
N/A,Toronto Raptors,Brooklyn Nets,88,96,+195,-238
N/A,Cleveland Cavaliers,Charlotte Hornets,115,92,-588,+432
N/A,Los Angeles Lakers,Indiana Pacers,150,145,-135,+114
N/A,Milwaukee Bucks,Oklahoma City Thunder,118,93,-141,+117
N/A,Minnesota Timberwolves,Golden State Warriors,114,110,-132,+110
N/A,Miami Heat,Cleveland Cavaliers,121,84,-159,+134
N/A,Los Angeles Clippers,Philadelphia 76ers,107,121,-400,+301
N/A,Detroit Pistons,New Orleans Pelicans,101,114,+687,-1000
N/A,Portland Trail Blazers,Denver Nuggets,111,114,+387,-526
N/A,Chicago Bulls,Boston Celtics,113,124,+168,-204
N/A,Houston Rockets,Utah Jazz,147,119,-526,+387
N/A,San Antonio Spurs,Phoenix Suns,106,131,+346,-455
N/A,Washington Wizards,Toronto Raptors,112,109,-233,+188
N/A,Atlanta Hawks,Charlotte Hornets,132,91,-294,+236
N/A,Orlando Magic,Sacramento Kings,107,109,-143,+119
N/A,New York Knicks,Brooklyn Nets,105,93,-294,+237
N/A,Los Angeles Lakers,Philadelphia 76ers,101,94,-312,+250
N/A,Golden State Warriors,Indiana Pacers,111,123,-189,+158
N/A,Portland Trail Blazers,Los Angeles Clippers,117,125,+727,-1250
N/A,Miami Heat,New Orleans Pelicans,88,111,-143,+120
N/A,Minnesota Timberwolves,Cleveland Cavaliers,104,91,-294,+235
N/A,San Antonio Spurs,Memphis Grizzlies,97,99,-250,+204
N/A,Detroit Pistons,Boston Celtics,102,129,+597,-909
N/A,Toronto Raptors,Oklahoma City Thunder,103,123,+855,-1429
N/A,Phoenix Suns,Atlanta Hawks,128,115,-400,+318
N/A,Denver Nuggets,New York Knicks,113,100,-385,+298
N/A,Dallas Mavericks,Utah Jazz,113,97,-1111,+672
N/A,Houston Rockets,Chicago Bulls,127,117,-152,+127
N/A,Milwaukee Bucks,Brooklyn Nets,115,108,-500,+368
N/A,Orlando Magic,New Orleans Pelicans,121,106,+116,-137
N/A,Washington Wizards,Sacramento Kings,109,102,+426,-588
N/A,Golden State Warriors,Memphis Grizzlies,137,116,-625,+449
N/A,Phoenix Suns,Philadelphia 76ers,115,102,-417,+315
N/A,Portland Trail Blazers,Los Angeles Clippers,103,116,+491,-714
N/A,Oklahoma City Thunder,Utah Jazz,119,107,-1250,+778
N/A,Boston Celtics,Milwaukee Bucks,122,119,-526,+390
N/A,Toronto Raptors,Sacramento Kings,89,123,+428,-588
N/A,Cleveland Cavaliers,Miami Heat,104,107,-141,+118
N/A,Detroit Pistons,Indiana Pacers,103,122,+425,-588
N/A,Minnesota Timberwolves,Denver Nuggets,112,115,+241,-294
N/A,San Antonio Spurs,Dallas Mavericks,107,113,+300,-385
N/A,Brooklyn Nets,New Orleans Pelicans,91,104,+217,-270
N/A,Orlando Magic,Charlotte Hornets,112,92,-833,+568
N/A,Washington Wizards,Houston Rockets,114,137,+386,-526
N/A,Los Angeles Lakers,Atlanta Hawks,136,105,-435,+334
N/A,Golden State Warriors,New York Knicks,112,119,-244,+198
N/A,Sacramento Kings,Memphis Grizzlies,121,111,-625,+437
N/A,Utah Jazz,Minnesota Timberwolves,104,114,+149,-179
N/A,Chicago Bulls,Portland Trail Blazers,110,107,-345,+269
N/A,Boston Celtics,Detroit Pistons,119,94,-1429,+835
N/A,Philadelphia 76ers,Miami Heat,98,91,-147,+123
N/A,Indiana Pacers,Cleveland Cavaliers,103,108,-250,+204
N/A,Los Angeles Clippers,Atlanta Hawks,93,110,-455,+348
N/A,San Antonio Spurs,Brooklyn Nets,122,115,-127,+108
N/A,Orlando Magic,Toronto Raptors,111,96,-625,+453
N/A,Washington Wizards,Boston Celtics,104,130,+759,-1250
N/A,Dallas Mavericks,Denver Nuggets,107,105,-101,-118
N/A,Detroit Pistons,Miami Heat,101,104,+181,-227
N/A,Milwaukee Bucks,Phoenix Suns,140,129,+110,-130
N/A,Sacramento Kings,New York Knicks,91,98,-149,+127
N/A,Utah Jazz,Minnesota Timberwolves,100,119,+238,-294
N/A,Los Angeles Lakers,Golden State Warriors,121,128,-122,+104
N/A,Chicago Bulls,Washington Wizards,127,98,-417,+315
N/A,Memphis Grizzlies,Oklahoma City Thunder,112,118,+386,-500
N/A,Indiana Pacers,Brooklyn Nets,121,100,-323,+259
